ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,BOOKING_CODE,longitude,latitude,location
,BOW005,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5BOW16,-114.178486071319,51.0808060601599,"(51.0808060601599, -114.178486071319)"
,WBN409,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN11,-114.131370416028,50.9368552108101,"(50.9368552108101, -114.131370416028)"
,RAN033,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1RAN17,-114.18254972484,51.1194044886284,"(51.1194044886284, -114.18254972484)"
,WBN409,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN11,-114.130235378678,50.9368528438815,"(50.9368528438815, -114.130235378678)"
,CGR208,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CGR06,-114.217358788902,51.071003686835,"(51.071003686835, -114.217358788902)"
,WBN409,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN12,-114.1313717638,50.9364024048516,"(50.9364024048516, -114.1313717638)"
,CED091,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CED13,-114.134578414605,50.9588695387953,"(50.9588695387953, -114.134578414605)"
,WBN409,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN12,-114.130232760837,50.9364071488827,"(50.9364071488827, -114.130232760837)"
,CED107,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CED04,-114.128383536,50.9544751022082,"(50.9544751022082, -114.128383536)"
,CED107,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CED02,-114.12780774641,50.9542412471138,"(50.9542412471138, -114.12780774641)"
,CED107,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CED09,-114.124500582884,50.9554753876076,"(50.9554753876076, -114.124500582884)"
,CED107,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CED02,-114.127793328849,50.9550810846135,"(50.9550810846135, -114.127793328849)"
,WBN323,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN05,-114.132531723399,50.9424399343296,"(50.9424399343296, -114.132531723399)"
,WBN323,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN05,-114.131114673149,50.9424366450889,"(50.9424366450889, -114.131114673149)"
,BNF105,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,WITH UPRIGHT,X5BNF12,-114.115445664597,51.0773611581825,"(51.0773611581825, -114.115445664597)"
,BNF105,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,WITH UPRIGHT,X5BNF12,-114.11401276511,51.0773601587356,"(51.0773601587356, -114.11401276511)"
,WBN409,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN10,-114.130808858489,50.9361875684544,"(50.9361875684544, -114.130808858489)"
,CED107,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CED09,-114.125918610238,50.9554788352943,"(50.9554788352943, -114.125918610238)"
,WBN409,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN10,-114.130802790931,50.9370828637191,"(50.9370828637191, -114.130802790931)"
,CAP102,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5CAP04,-114.102123271105,51.0720785197551,"(51.0720785197551, -114.102123271105)"
,CAP102,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5CAP04,-114.101203376423,51.0720817900953,"(51.0720817900953, -114.101203376423)"
,WBN323,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN06,-114.132180732217,50.9427979501665,"(50.9427979501665, -114.132180732217)"
,WBN323,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN06,-114.132179976315,50.9420761972024,"(50.9420761972024, -114.132179976315)"
,WBN323,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN07,-114.131470273884,50.9427979376083,"(50.9427979376083, -114.131470273884)"
,WBN323,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WBN07,-114.131469532153,50.9420778135972,"(50.9420778135972, -114.131469532153)"
,BOW186,,CALGARY SEPARATE SCHOOL BOARD,CALGARY SEPARATE SCHOOL BOARD,,ACTIVE,4,GOAL POST,STANDARD,S6BOW10,-114.192268288265,51.0830951223849,"(51.0830951223849, -114.192268288265)"
